,MI Scores
PC252,0.013179795191211596
PC218,0.013150011964144781
PC248,0.0129716164671283
PC187,0.012953061424333612
PC255,0.012934042858313788
PC224,0.012705588691863667
PC85,0.012475490332858996
PC293,0.012392697457038082
PC209,0.012327533268674529
PC201,0.012251945371623663
PC242,0.012241821870381031
PC230,0.012052670672828114
PC170,0.01203645832978495
PC88,0.012026418338267675
PC179,0.012022018817786417
PC263,0.012020619122184328
PC90,0.011980084041475436
PC236,0.011714490802571476
PC178,0.011710997400715684
PC184,0.011522597725338812
PC107,0.011484016686987175
PC211,0.011169605551785367
PC222,0.01110766982323419
PC118,0.011103938441104688
PC238,0.011089135560606422
PC84,0.011088568711056013
PC120,0.011074992677555073
PC213,0.010676372548845237
PC8,0.010593169645511935
PC189,0.010561926027101265
PC60,0.010482912757430185
PC18,0.010409968124111657
PC162,0.010400911011702263
PC180,0.010337144510829788
PC156,0.010279187838031945
PC13,0.010254215851619009
PC173,0.010204401584461564
PC150,0.010164967165227523
PC52,0.010047234428348872
PC194,0.009894423637808458
PC117,0.009878511079504548
PC193,0.00982857915446722
PC37,0.009767263107221424
PC48,0.0096717289795194
PC257,0.009668379401018612
PC283,0.009541410827313968
PC134,0.009528236649838817
PC186,0.009457582164186462
PC74,0.009437433219869007
PC53,0.009430307231870216
PC106,0.009423010779414653
PC188,0.009414073705942272
PC63,0.009327514402064807
PC199,0.009244678807064588
PC210,0.009096139104480372
PC121,0.009077669486343254
PC160,0.009040231332704707
PC75,0.008936583336522474
PC86,0.0088993060646132
PC287,0.008772734214414157
PC147,0.008762489433321363
PC131,0.008757378644478564
PC226,0.008725173325446534
PC269,0.008600679256739241
PC185,0.008526086706975633
PC152,0.008507480996414074
PC203,0.008442333263493751
PC286,0.008391748877292216
PC143,0.008380262882079492
PC113,0.008339447625830942
PC149,0.008324055645326567
PC136,0.008271931775169605
PC132,0.008255980756290526
PC159,0.008211646288961205
PC81,0.00816295740678541
PC169,0.008106196044126435
PC158,0.007870155216911812
PC59,0.0078122724801037435
PC119,0.007775420864726712
PC161,0.007534010196069474
PC49,0.007499035076460103
PC71,0.007390138828840875
PC14,0.007283665982290799
PC288,0.007235839032873059
PC35,0.007196780794712865
PC15,0.007180826911763916
PC294,0.0071516508350875085
PC65,0.006991787574143871
PC114,0.006934221156528864
PC280,0.006873676484342894
PC172,0.006835569912725603
PC144,0.006812443547410396
PC165,0.006782369353004469
PC26,0.006629089582943948
PC28,0.006616193554583205
PC141,0.00660547186316407
PC109,0.006570812051252872
PC29,0.006496600126135732
PC77,0.006495353905830115
PC46,0.00644806500341133
PC125,0.006400052329622596
PC183,0.006181008080444528
PC153,0.006140669179419689
PC56,0.0060962001549977884
PC128,0.006069555828627671
PC285,0.005988560611028149
PC195,0.005935215073655797
PC92,0.005935166820378868
PC100,0.005920430718420633
PC115,0.005886148351686771
PC54,0.005846885747294195
PC277,0.005782758069940996
PC11,0.005679563475977645
PC112,0.005559339311258071
PC168,0.005455718889564309
PC91,0.005423548149874335
PC142,0.0053607627377072475
PC62,0.005335662081874304
PC116,0.005329252868726542
PC182,0.0053259625345312145
PC64,0.005304289600346124
PC243,0.005276838497653813
PC73,0.005236729315251765
PC278,0.005233988068798823
PC68,0.005200427676538055
PC276,0.005173586251412843
PC102,0.005007469599796366
PC171,0.004671762885148922
PC76,0.004630674720207395
PC95,0.0045785299326919215
PC291,0.004488273111533658
PC154,0.004400151237785366
PC42,0.004379523204750768
PC137,0.004304676923855055
PC281,0.004215477334209794
PC272,0.004188328947174469
PC69,0.004170010193643492
PC228,0.004147732619349753
PC36,0.004123167953638429
PC98,0.004113165490906567
PC80,0.003962285900366069
PC196,0.0037522830670635443
PC101,0.003751560526440656
PC227,0.003665550511829707
PC33,0.003635357419641494
PC30,0.003628144667544575
PC45,0.0036114729573739623
PC273,0.0036100233987674812
PC295,0.003523034400419789
PC41,0.0033663305026188084
PC103,0.0032740107775648397
PC51,0.0032522599909334815
PC78,0.003251948509545244
PC298,0.0032076687055901942
PC9,0.0030748611832134287
PC264,0.003049736159640659
PC268,0.0028056546950772088
PC140,0.002737450277793485
PC145,0.0027079387853028436
PC39,0.0026487295127619603
PC87,0.00250848792087055
PC261,0.0023199579106751855
PC105,0.0023178623198152337
PC130,0.0022299833517998024
PC27,0.0021910124553805588
PC40,0.002176750549915951
PC274,0.0021514681351337828
PC17,0.0018775390923266855
PC94,0.0017186389078496234
PC233,0.0015729792299072898
PC22,0.0014837476702567187
PC72,0.0014091333040298082
PC151,0.0012700211694625096
PC271,0.0012681265471936598
PC47,0.0012548646291623555
PC21,0.0011235018497934846
PC267,0.0011000835969348088
PC127,0.0010711632410487226
PC290,0.0009498175435123102
PC270,0.000808285703548961
PC57,0.0007048971524561409
PC25,0.0005724580248003264
PC24,0.00026240378451092283
PC38,0.00024618161918255055
